smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B)
c1c2c(cc(c1C)CCCCCCCC)C[C@H](CC2)C,273.15,298.15,310.928,333.15,372.039,6.029210247342973,4.076242247373626,2.9036047441532955,2.1120199658530736,1.4447188552502703,-3.73084610795405,1509.8263141648345
C1[C@H]2[C@@H](C[C@@H]([C@@H]1C)CCCCCCCC)C[C@H](CC2)C,273.15,298.15,310.928,333.15,372.039,5.404891746891404,3.7346180210507236,2.726529269597127,2.0255954612759783,1.41196367656418,-3.4991558087761283,1416.6816405213483
C1C[C@@H]([C@@H](CC1)C1CCCCC1)C1CCCCC1,273.15,298.15,310.928,333.15,372.039,34.62115571922478,9.692737288206509,5.2287724737579655,3.1625221255403577,1.8885044802133635,-7.658580888239617,2986.6772878572588
c1(c2c(c(cc1)C)c(ccc2)CCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,7.845513879054581,4.469185515403966,3.1175188803150986,2.2245336699790643,1.509260364461072,-4.2926129901137715,1719.0430504043454
c1(c2c(c(cc1)C)[C@H](CCC2)CCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,7.016886884408938,4.64621614071533,3.211461262684962,2.284482719912545,1.5363804062500783,-3.9402226209625115,1608.4553567465136
C1[C@H]2[C@@H]([C@@H](CC1)CCCCCCCC)[C@@H](CC[C@H]2C)C,273.15,298.15,310.928,333.15,372.039,5.709748877185666,3.594621815518264,2.6579116114219294,1.990744735470784,1.4038979728217114,-3.6530385792917315,1463.005228949668
CC(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C,273.15,298.15,310.928,333.15,372.039,3.105638892603655,2.2097552115390524,1.7621864353988692,1.413348259960992,1.0677778515425032,-2.9632677859888954,1113.048115087457
CC(CCC[C@@H](CCCC[C@H](CCCC(C)C)C)C)C,273.15,298.15,310.928,333.15,372.039,3.4314952886415866,2.40249193338812,1.8972055582127447,1.5059529221122228,1.1274014809453303,-3.0401159275985297,1160.738700496164
C1C[C@@H]2[C@@H](CC1)C[C@H]1[C@H]2C[C@H]2CCCC[C@H]12,273.15,298.15,310.928,333.15,372.039,5.689046963800649,3.539937799773299,2.63689546473991,2.0001039318879097,1.4295547478033632,-3.568247769867789,1436.118664587219
c1cc2c(cc1)c(ccc2)C(C)(C)C,273.15,298.15,310.928,333.15,372.039,5.694006342224715,3.219050233435312,2.315594728912449,1.7300384564679445,1.2370384230629934,-4.135800833555933,1582.0906159542683
c1c2c(cc(c1)CCCC)[C@H]1[C@H](CC2)CC[C@@H](C1)CCCCCC,273.15,298.15,310.928,333.15,372.039,11.129504002878761,6.8587030093995685,4.560023980045489,3.0676224570798034,1.9248539419729753,-4.377009533729158,1853.7623219449958
c1cc2c(cc1)cc(cc2)C(C)(C)C,273.15,298.15,310.928,333.15,372.039,9.44991648665909,2.2649787331649756,1.7626016228233392,1.3971769704221828,1.0597639878858802,-5.9463913170944895,2120.1805556413847
C1[C@H]2[C@@H](CCC1)CC[C@H]1CCCC[C@H]1CC2,273.15,298.15,310.928,333.15,372.039,5.501858139277545,3.8478908229960775,2.8174432513910204,2.1056113982024303,1.4887547148558857,-3.3535363233647466,1381.7626827861532
c1(ccc(cc1)[C@@H](CCCCCCCC)CCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,6.636201952017703,4.126673742317103,2.984468533196585,2.183735491551683,1.4939155227703964,-3.844535539986418,1558.2546076278772
c1ccc(cc1)CCC(CCc1ccccc1)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.550211159698478,3.985079739319207,2.8818314853940588,2.1391797976139637,1.4861655508101264,-3.825196756275691,1545.349286220418
CCCCCC(CCCCC(CCCCC)CCCCC)CCCCC,273.15,298.15,310.928,333.15,372.039,5.63685795247559,3.6028131470009095,2.6410671021686674,1.976329304223169,1.3687079879400108,-3.7102886636229346,1477.8706116799601
c1c2c(c(cc1)/C(=C/CCCCCCCCC)/CCCCCCCCCC)cccc2,273.15,298.15,310.928,333.15,372.039,11.594803335519968,6.572313620343155,4.4568083743436695,3.0686307586364925,1.9419661231163234,-4.422199949316537,1866.9866878341786
C1CCCCC1[C@@H](CCCC)CCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.058229576213773,4.40243895545971,3.1827922770267163,2.3354138590798907,1.5997094451569898,-3.7569810359424833,1551.2498893946565
C1CCCC(C1)CC(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.241779203631689,4.515207126009907,3.257583232696168,2.380873620717763,1.6160856225671714,-3.7879106799273723,1567.4742255247668
C1CCC(C1)CCCC(=CCCC1CCCC1)CCCC1CCCC1,273.15,298.15,310.928,333.15,372.039,7.869211242455004,4.886492561651456,3.512178615846814,2.562324200889716,1.7399963693501277,-3.7429472524860823,1577.5159631856313
c1ccc(cc1)CCC(CCCC1CCCC1)CCc1ccccc1,273.15,298.15,310.928,333.15,372.039,9.46387823696847,5.209593318652366,3.556624438949155,2.524996107257312,1.6815176810009984,-4.405797270196835,1799.0206167881845
c1cc(ccc1[C@H](CCCCCCCCCCC)CCCCCCC)C,273.15,298.15,310.928,333.15,372.039,6.939759170166035,4.320819277179358,3.1165311336465686,2.277807399273467,1.5435572239428739,-3.841941380975456,1570.558954553647
C1[C@@H]2[C@@H](CCC1)[C@H]([C@H]1CCCC[C@@H]21)CCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,10.196172844755782,5.716478399729178,3.902194047649603,2.7089346773984535,1.7717037160564302,-4.421337143285277,1827.9369171473293
c1ccc(cc1)C(c1ccccc1)C,273.15,298.15,310.928,333.15,372.039,2.5945715569215384,1.918734019890648,1.5744871371728806,1.303193542274042,1.031906914900737,-2.589265127160884,961.1098279501779
C1CCC(CC1)CC1CCCCC1,273.15,298.15,310.928,333.15,372.039,2.9111753357093497,2.127038143419633,1.7262049517022942,1.4047351547190259,1.2939228524547133,-2.166700170070318,866.8096438924463
CCCCCCC(CCCCCC)CCC,273.15,298.15,310.928,333.15,372.039,2.182007411076247,1.6522762668580135,1.3663970108497003,1.1336939298000612,0.8875408675214033,-2.667216935921516,938.2009042998737
CCCCC(CCCC)CCCC,273.15,298.15,310.928,333.15,372.039,1.5560741607716158,1.239668305225523,1.0609710966311907,0.9081302314887406,0.7361855757458955,-2.421391749885017,780.1472687505196
CCC=C(CCC)CCC,273.15,298.15,310.928,333.15,372.039,0.9677970154862233,0.8480489420695917,0.7685841330130261,0.6908893562422795,0.591264177335692,-1.9095645950150528,514.5367563154045
CC(/C(=C/C(C(C)(C)C)(C)C)/C)(C)C,273.15,298.15,310.928,333.15,372.039,2.056289552928837,1.6218821518305422,1.3747502526871016,1.1619994229728343,0.9212999075495127,-2.347219072751913,837.0867267063153
CC([C@H](CC(C(C)(C)C)(C)C)C)(C)C,273.15,298.15,310.928,333.15,372.039,2.524476202564563,1.93720189344422,1.6079246906150324,1.3328956721965697,1.031906914900737,-2.4959059196259656,933.406689509009
CCCC(CCCCC(CCC)CCC)CCC,273.15,298.15,310.928,333.15,372.039,2.681238878765956,1.9261488525738375,1.549709432498343,1.2581996403610498,0.96334218779165,-2.9400850601883075,1066.0711709020911
C1CCC(C1)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,2.2091366457360984,1.7421055163933696,1.4715563377541523,1.239996529785679,0.9826940801511712,-2.306625797790387,845.7400082791681
CC(CCCCCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,2.1945348818236874,1.7094634205787547,1.4379749001948552,1.2065953566427883,0.9529188873414715,-2.4058872441369368,870.2113681238073
C1[C@H]2[C@@H](CCC1)[C@H]([C@H](C2)CCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,6.366775643823809,3.7634304878607687,2.653408992299977,1.9311329192823916,1.3299043595920086,-4.185578619561999,1634.5594012871072
C1[C@H]2[C@@H](C[C@@H]([C@@H]1CCCCCC)CCCC)CCC2,273.15,298.15,310.928,333.15,372.039,5.258870133031548,3.312925690280306,2.4380604538880744,1.82864886341088,1.2833103641963357,-3.7630275088233285,1470.8566108552982
c1cc2c(cc1CCCC)cccc2,273.15,298.15,310.928,333.15,372.039,2.653408992299977,1.9510855630768225,1.5954629836055445,1.3096322506800118,1.0193001765986764,-2.6938913025480473,996.7957433170255
c1c2c(cc(c1)CCCC)[C@H](CCC2)CCCCCC,273.15,298.15,310.928,333.15,372.039,5.979760489991533,3.736958630548829,2.7277048248964,2.0146472157288184,1.3966149840859947,-3.806625233322173,1518.6324552057436
C1[C@H]2[C@@H]([C@@H](CC1)CCCCCC)C[C@H](CC2)CCCC,273.15,298.15,310.928,333.15,372.039,6.50419691511579,3.9778989217844773,2.859841807482803,2.0952050902904173,1.4311894925658488,-3.950412521485995,1579.9646275304383
C1[C@H]2[C@@H](CCC1)[C@@H](CCC2)C(C)(C)C,273.15,298.15,310.928,333.15,372.039,3.3875538678917723,2.417544016470537,1.9346302057328348,1.5521614285041636,1.1737083812274602,-2.845799784613631,1104.948948575877
